jurisdiction,cycle_year,map_type_a,map_type_b,seats_total,seats_changed_between_a_and_b,seat_asymmetry_pct,eg_asymmetry_pp,data_quality,primary_source,acquired_in_session,notes
Alberta,2026,commission_majority_3_to_2,commission_minority_2_to_3,89,3,1.12,-0.51,measured_this_audit,Alberta Electoral Boundaries Commission Final Report March 23 2026,yes,Audit's own finding; 1 UCP seat shift (67/22 majority vs 66/23 minority under 338 Apr 2026 polling; 35/51 vs 38/51 under 2023 actual vote)
Alberta,2017,commission_interim,commission_final,87,1,1.15,0.52 (bound 0.00-1.05),proxy_seat_share_asymmetry_method,Alberta Electoral Boundaries Commission Final Report Oct 2017; Interim Report May 2017,yes_proxy,"Alberta 2017 interim (May 2017) vs final (Oct 2017). Documented changes between interim and final: (a) Beaumont reunified into a single ED rather than being split across two (shift of rural-small-urban voters, slight PC/UCP lean); (b) Lesser Slave Lake restored as a distinct riding after being merged in interim (rural PC/UCP-leaning seat). The restoration of Lesser Slave Lake effectively redistributes ~20k rural voters from a merged northern configuration back into a single rural seat. Under 2015 NDP-wave vote (40.6%), this shift is at the margin of projected-winner change but the restored sea"
Alberta,2010,commission_interim,commission_final,87,0,0.00,0.00 (bound 0.00-1.05),proxy_seat_share_asymmetry_method,Alberta Electoral Boundaries Commission Final Report 2010,yes_proxy,"Alberta 2010 interim (Feb 2010) vs final (Jul 22 2010). Final dropped interim's Edmonton-west three-new-division proposal; retained interim net +4 seats (2 Calgary + 1 Edmonton + 1 Fort McMurray). Under 2008 PC landslide (72/83), competitive seats were 4 Liberal Edmonton ridings plus small Liberal/NDP set. Edmonton-west change redistributed PC-zone voters; no documented Liberal-to-PC or PC-to-Liberal projected flip across interim→final. Upper bound of 2 seats conservatively accounts for Edmonton-area boundary reshuffles that could have moved a marginal Liberal seat."
Canada_federal,2022_2024,commission_proposal,commission_final,338 (then 342 after redistribution),varies_by_province,NA,NA,not_acquired,Representation Order 2023 (SI/2023-17),no,Federal Electoral Boundaries Commission publishes proposal and final reports per province. Not aggregated to national-level partisan-asymmetry measurement in this session; would require extracting per-riding 2021 vote totals for both proposal and final maps across all 10 provinces.
Canada_federal_AB,2022,AB_commission_proposal,AB_commission_final,37,0,0.00,0.00 (bound 0.00-1.23),proxy_seat_share_asymmetry_method,Report of the Federal Electoral Boundaries Commission for Alberta Feb 2023,yes_proxy,"Federal Electoral Boundaries Commission for Alberta (2023) made changes to all but one of 37 EDs between proposal and final. Partisan composition invariant: two NDP-competitive Edmonton seats (Griesbach, Strathcona) unchanged in partisan character across both maps per Elections Canada transposition of 2021 votes onto final boundaries (CPC ~32/37, NDP 2/37 under both proposed and final configurations inferred from unchanged urban-core boundaries). Changes concentrated on intra-CPC-zone swaps (Chestermere, Sherwood Park, Spruce Grove area) which do not shift projected winners. Upper bound of 1 s"
British_Columbia,2023,commission_preliminary,commission_final,93,0,0.00,0.00 (bound 0.00-0.49),proxy_seat_share_asymmetry_method,BC Electoral Boundaries Commission Final Report April 2023,yes_proxy,BC Electoral Boundaries Commission 2022 preliminary and 2023 final both recommend 93 seats with six new seats in the same six cities. Final adopted unanimously by Legislative Assembly (Apr 6 2023). Boundary adjustments to 71-72 existing ridings between preliminary and final are characterised in news coverage as 'much the same' with tweaks; no identified inter-map seat flip in news coverage. Upper bound of 1 seat for residual Surrey/Langley boundary uncertainty.
Saskatchewan,2022,commission_interim,commission_final,61,0,0.00,0.00 (bound 0.00-0.75),proxy_seat_share_asymmetry_method,Saskatchewan Constituency Boundaries Commission Final Report April 2022,yes_proxy,"Saskatchewan Constituency Boundaries Commission interim (Jul 27 2022) and final (Oct 27 2022). All 59 southern boundaries adjusted for population; partisan-relevant changes concentrate in growing urban centres (Warman, Martensville, Saskatoon-Saskatoon Stonebridge). Under 2020 SaskParty landslide, competitive-margin seats limited to 3-5 Regina/Saskatoon NDP-leaning seats; no public coverage identifies a specific interim→final projected-winner flip. Upper bound of 1 seat for residual Regina boundary uncertainty."
Ontario,1996,commission_map,legislated_adjustment,redrawn,substantial,NA,NA,not_acquired,Fewer Politicians Act SO 1996; Electoral Boundaries Readjustment Act 1996,no,Commonly cited Canadian comparator for government override. Government reduced Ontario seats from 130 to 103 by legislative action after commission; no apples-to-apples partisan asymmetry comparable to Alberta 2026 minority-majority because there was only one final map.
Quebec,1992,commission_map,legislated_adjustment,125,small,NA,NA,not_acquired,Commission de la representation electorale du Quebec Final Report 1992; Loi electorale amendment 1992,no,Government amended specific ridings after commission report. Minor in scope vs Ontario 1996.
British_Columbia,2008,commission_map,legislated_adjustment,79 to 85,6 (net add),NA,NA,not_acquired,BC Electoral Boundaries Commission Final Report 2008; Electoral Boundaries Commission Amendment Act 2008,no,Government added 6 seats by legislative amendment after commission requested a two-seat expansion; BC 2008 is the closest Canadian precedent to Alberta 2026 in substantive scope.
Manitoba,2018,commission_preliminary,commission_final,57,1,1.75,0.80 (bound 0.00-1.60),proxy_seat_share_asymmetry_method,Manitoba Electoral Divisions Boundaries Commission Final Report 2018,yes_proxy,"Manitoba Electoral Divisions Boundaries Commission (2018). Interim and final reports both recommended 56-of-57 boundary amendments with Winnipeg gaining one seat from rural Manitoba. Under 2016 PC-wave vote (53.1%, 40/57), one Winnipeg seat added between configurations creates a marginal NDP-competitive seat; rural seat lost correspondingly was PC-held. Best estimate: 1 seat projected flip between interim and final (the displaced rural vs. newly-created Winnipeg NDP-lean seat). Upper bound 2 for Winnipeg-interior boundary adjustments."
Nova_Scotia,2019,commission_interim,commission_final,55,unknown,NA_not_comparable,NA_not_comparable,not_comparable_menu_of_alternatives,Nova Scotia Electoral Boundaries Commission Final Report 2019,partial,"Nova Scotia Electoral Boundaries Commission (2018-19). Interim report (Nov 2018) presented FOUR alternatives: 51 adjusted, 55 with restored Acadian/Preston districts, 55 with dual-member Inverness, and 56 with exceptional district. Final report (Apr 15 2019) corresponded to Alternative 2 (55 seats). This is a menu-of-options structure rather than an interim-to-final single-map pair; not directly comparable to other cycles' EG asymmetry measurement. Marked as not_comparable."
New_Brunswick,2023,commission_preliminary,commission_final,49,unknown,NA,NA,not_acquired,Commission on Electoral Boundaries and Representation Final Report 2023,no,Not acquired.
