perturbation_idx,majority_eg_pct,minority_eg_pct,asymmetry_pp,majority_mm_pp,minority_mm_pp,majority_declination,minority_declination,majority_seats_at_50_ndp,minority_seats_at_50_ndp,majority_ndp_seats,minority_ndp_seats,majority_conservation_pass,minority_conservation_pass,majority_coverage_frac,minority_coverage_frac
0,-2.230378851546426,0.6912611190862188,2.9216399706326444,-1.3559365182392091,-2.2345714927943074,-0.04547257080716977,-0.01783607790913904,49,46,40,34,True,True,0.916807926736499,0.8950257435348471
1,-5.642489528883435,0.7281230635263958,6.37061259240983,-1.453528334103038,-1.5757963992730162,-0.0584353735059127,-0.01201173558577218,49,45,41,34,True,True,0.9166937604069243,0.8947589088098344
2,-2.391605658596658,0.5772928609789438,2.9688985195756015,-1.3689239419263477,-1.7205338517739643,-0.045242175018550594,-0.026888861961197028,49,45,40,35,True,True,0.9167779505785321,0.8953315726887663
3,-5.4957425071967725,0.6906740247746038,6.186416531971377,-1.6096525626857094,-1.4538979881654979,-0.05933048138530578,-0.025139536238223594,49,44,41,35,True,True,0.9167408609490266,0.8953834501558857
4,-5.401095397219546,0.6861300605687229,6.087225457788269,-1.521118458795262,-1.5249199128538782,-0.045033131973905634,-0.024913132843564233,49,44,40,35,True,True,0.9167849389195234,0.8953650993690032
5,-5.555165288484478,0.690733087616202,6.24589837610068,-1.342627027756521,-2.086601101183727,-0.05832677899154999,-0.03534181910391973,49,47,41,36,True,True,0.9167579834427592,0.8952392984246692
6,-2.57803606946823,0.9164257790685075,3.4944618485367376,-1.599151485253275,-1.8656668162520373,-0.05852066966791657,-0.025166770936811737,49,45,41,35,True,True,0.9166958451848745,0.8953843448228773
7,-5.435178796997874,0.9996098985577379,6.434788695555612,-1.6711447347517894,-2.090532364131742,-0.0590917405913519,-0.0254979016185009,49,46,41,35,True,True,0.9168051574207862,0.8950349712525625
8,-2.492115659114537,0.6414446084597132,3.13356026757425,-1.1257499214071542,-1.9438235299324258,-0.04546050846510567,-0.02758522898367722,49,46,40,35,True,True,0.9165930547934433,0.895321797403837
9,-2.3162943080711105,0.639452610750108,2.9557469188212186,-1.4769532799027207,-1.3506784365429514,-0.046079540393385625,-0.02538621163494155,49,44,40,35,True,True,0.9169314777595031,0.8949547446077737
10,-2.2064826153298713,0.4505641668029351,2.6570467821328063,-1.4788406275119848,-1.7133229163820207,-0.03232228474208531,-0.03700226260390212,49,46,39,36,True,True,0.916806300495556,0.8954761946349559
11,-2.3283082302250935,0.6651800228710255,2.9934882530961193,-1.3744954884156724,-1.9734413879957058,-0.046239776527818195,-0.03622942046442257,49,45,40,36,True,True,0.916656785781579,0.8954349865131791
12,-2.761379209078595,0.6442571989493462,3.4056364080279415,-1.2895057696025003,-1.8655220594484934,-0.0591075454123513,-0.036803500765392384,49,45,41,36,True,True,0.9167559185364133,0.894918292458408
13,-2.3859783036457904,0.6666451552549408,3.0526234589007313,-1.4335163050496147,-1.9828137753855057,-0.04638468337629566,-0.011660928770464353,49,45,40,34,True,True,0.9166649886592336,0.8954264041817943
14,-5.500075396736383,2.234537136216127,7.73461253295251,-1.5441581584665354,-2.113126589951464,-0.058887898617401846,-0.014171280641912467,49,47,41,34,True,True,0.9167283050118471,0.8956412175112846
15,-2.3553538858865624,0.9265011875472757,3.2818550734338383,-1.4010137322311322,-1.9275415494893533,-0.04525857125960439,-0.02427158690616527,49,46,40,35,True,True,0.91670769110638,0.8945422338622051
16,-2.269703633104331,0.5537694862957989,2.82347311940013,-1.7447648194675203,-2.0031407497258624,-0.04597092864871632,-0.025531983986798353,49,48,40,35,True,True,0.9166871603907745,0.8941881253034957
17,-2.4251274599478014,0.5113977357643396,2.936525195712141,-1.3521006756466558,-1.7694525215145085,-0.04646018508499164,-0.03901696827639713,49,45,40,36,True,True,0.9167462858441904,0.8946722951037519
18,-5.730808632065202,0.4798131822457156,6.210621814310917,-1.380863070619609,-1.8105425875022896,-0.05880731826797739,-0.03923878963483678,49,45,41,36,True,True,0.9166638771975972,0.8956106761501894
19,-5.379527485072849,0.8641486068839441,6.243676091956793,-1.51717113443266,-1.434196258897874,-0.05906773132675349,-0.011475142391343169,49,44,41,34,True,True,0.9168855323906137,0.8953709774181614
20,-2.3422013863207596,0.709838322024286,3.0520397083450455,-1.3489137818668062,-2.036824632077078,-0.0460397300830742,-0.012620165095566144,49,46,40,34,True,True,0.9167976206404872,0.8956380023493291
21,-2.3241486472269353,0.7482251672396869,3.072373814466622,-1.2256158825518115,-2.0258969586176176,-0.04548495970562286,-0.012575819212336758,48,45,40,34,True,True,0.9166994829436744,0.8957014357191571
22,-2.456335456511591,0.7030986813670984,3.159434137878689,-1.4347719433656148,-1.9734144726530178,-0.03266749582614937,-0.036918576772304854,49,46,39,36,True,True,0.9167380085191784,0.8950662547034145
23,-2.478636800383912,0.878741731802322,3.3573785321862335,-1.6760197266895205,-1.6963197640451233,-0.0459824834168177,-0.010024783238457362,49,46,40,34,True,True,0.916723488263478,0.8953159587598005
24,-2.333233318589982,1.0454760782983419,3.3787093968883233,-1.4668976872549477,-1.8193700559441917,-0.04621868510917576,-0.01270653316831383,49,45,40,34,True,True,0.9168003988656411,0.8954363438332836
25,-5.482047138865505,2.2522365883254993,7.734283727191005,-1.7734367767181958,-2.1054724746004503,-0.05895254656166582,-0.013905952056822463,49,45,41,34,True,True,0.9168416789448796,0.8956436251720047
26,-2.3019368672954035,0.38867620275441445,2.690613070049818,-1.3373226203034716,-1.6020242396255435,-0.04444082351061328,-0.03852304701640399,49,45,40,36,True,True,0.9168290428971442,0.8951986196728617
27,-2.369333054316012,0.8179071304336687,3.1872401847496805,-1.402814869740665,-1.6734982977838875,-0.04457806179839394,-0.014606636950484374,49,45,40,34,True,True,0.9166120090174,0.8947345997981745
28,-2.404263206365848,0.6562723631836762,3.060535569549524,-1.6120060757819243,-1.9131006190454158,-0.04628084680176851,-0.03601531303394535,49,46,40,36,True,True,0.9167270273112578,0.8956268575766272
29,-5.442442365331712,2.4386622241403066,7.881104589472018,-1.422085607999668,-1.601769933885555,-0.04564643855721791,0.0021612936219663837,49,45,40,33,True,True,0.9167300659964916,0.895116266876535
30,-5.43766351334872,0.41741141386406444,5.855074927212785,-1.5469890671172104,-1.7831799517656621,-0.05917204708841388,-0.03683870147497729,49,45,41,36,True,True,0.9167661538441566,0.8946730701357372
31,-5.555459699777743,0.8642077052095196,6.419667404987263,-1.5055439732220899,-2.2282664964125676,-0.05813078714709499,-0.016635367357951042,49,45,41,34,True,True,0.9167184235067173,0.8956335692847393
32,-5.308025637095872,0.7826270562146218,6.090652693310494,-1.4870464044555332,-1.9225290527887406,-0.058615956050875294,-0.02348912658756722,49,46,41,35,True,True,0.9167504933785621,0.8954482005654264
33,-2.3596628639765855,0.71147908223996,3.0711419462165455,-1.4583735428300437,-1.48314563358099,-0.04547935733046606,-0.01449582081347073,49,44,40,34,True,True,0.916824072409982,0.8956696724449688
34,-5.398277437715996,0.637753416932715,6.036030854648711,-1.3918733873367894,-1.6035893754894948,-0.058400432758912504,-0.0123162835283168,49,44,41,34,True,True,0.916574485119567,0.8954430905208082
35,-2.4091208148772076,0.6954797602463141,3.1046005751235217,-1.3293155844411764,-1.981444692150719,-0.04579555670245808,-0.034683257838811,49,46,40,36,True,True,0.916793925958768,0.895687115821883
36,-5.506641220960094,0.57399058602725,6.080631806987344,-1.5434413688745263,-1.8153848439539932,-0.057783541363859915,-0.033589416564459934,49,45,41,36,True,True,0.9166896901339098,0.8950187590071851
37,-2.2821841174344746,0.9123810219690661,3.1945651394035406,-1.327430437254884,-1.9561456910215658,-0.045770713454312564,-0.012975838879925514,49,46,40,34,True,True,0.9167056248555658,0.8956078957344644
38,-5.4593460814505335,0.9578875905896942,6.417233672040227,-1.777316904423215,-1.838431543563468,-0.05895926835455962,-0.004736769637358968,48,45,41,33,True,True,0.9166873987835101,0.8956514027069499
39,-2.3177590609843106,0.8972023733442139,3.214961434328525,-1.36723203731563,-2.063777174029646,-0.045051102341315805,-0.024384809997687454,49,46,40,35,True,True,0.9167977635483174,0.895650801078699
40,-2.2775569020230475,0.7414846271201669,3.019041529143214,-1.3884136453201745,-2.124653235213936,-0.04550875621812574,-0.023468661110357364,49,45,40,35,True,True,0.9166295366432731,0.8938221371815397
41,-2.1853111111070116,0.7360939575295459,2.9214050686365574,-1.5368371439751227,-1.9278645586796817,-0.045907979765845416,-0.02565376670034268,49,45,40,35,True,True,0.9167630654959164,0.8949722059693912
42,-5.353328492002208,0.5418716582626582,5.895200150264866,-1.7158904849528644,-2.0970454502872493,-0.059348848354624006,-0.03978156297822622,49,45,41,36,True,True,0.9167644474256135,0.8944333555393699
43,-2.470079986538018,0.888294687737581,3.3583746742755993,-1.3082260080160613,-2.0033837739647007,-0.045754148819008765,-0.023066015697471624,49,45,40,35,True,True,0.9166875869776909,0.8956497462776793
44,-5.860505561846308,0.4841456165887073,6.344651178435015,-1.5304215907100849,-1.684076159654735,-0.07177996837836992,-0.03520913339849585,49,46,42,36,True,True,0.9166769551464553,0.8955931381808285
45,-2.3638262534871672,0.6491783447486051,3.0130045982357725,-1.5134881995157723,-1.830601032450213,-0.045005511140676094,-0.024235820138248654,49,46,40,35,True,True,0.91666474389451,0.8956439580934802
46,-2.2718128584565718,0.7881361816641123,3.0599490401206837,-1.6682665397742769,-2.07453421081481,-0.04539898418381747,-0.004063442179523836,49,45,40,33,True,True,0.9167438419055414,0.8953279773257946
47,-2.389961981027722,0.6185300488041359,3.008492029831858,-1.6838481526442017,-1.4776649479913528,-0.04599123108785506,-0.025832890720678993,48,44,40,35,True,True,0.9168033490378055,0.895397441861797
48,-2.3623606079297597,0.630075793838483,2.9924364017682423,-1.426998652091821,-1.943381206641276,-0.04602653239989546,-0.023839540190891243,49,45,40,35,True,True,0.916843117282439,0.8956045874071679
49,-2.4489790242118445,0.48285582218451056,2.931834846396355,-1.3361195329709918,-1.9394362991695446,-0.045632321751463534,-0.038309837300993334,49,45,40,36,True,True,0.9168518803643537,0.8956588967277412
50,-2.3029340979035386,0.760825377564167,3.0637594754677058,-1.3049437380214912,-1.272959713484123,-0.04485203033742303,-0.012198723708487832,49,44,40,34,True,True,0.9166678880337703,0.8955984082559675
51,-5.628015060653032,0.5711847241747054,6.199199784827738,-1.3072278185468633,-1.474794167408655,-0.05826735649900417,-0.024643166896726534,49,44,41,35,True,True,0.916828172527418,0.894932398908315
52,-2.4111806903264887,0.8579940929367388,3.2691747832632276,-1.4264835227278339,-1.8952285227691712,-0.045394477567047155,-0.013499100243812647,49,47,40,34,True,True,0.9167697594833567,0.8953789022521818
53,-2.301881156076623,0.7240799561228763,3.025961112199499,-1.5789062189558611,-1.6270650956825283,-0.045213511446272815,-0.027761788952528843,49,44,40,35,True,True,0.9167250433214027,0.8947626261083276
54,-5.512387327640486,0.6590260167839076,6.171413344424394,-1.668033221462184,-2.068811384372482,-0.04556065175455194,-0.03824534178746915,48,46,40,36,True,True,0.916756553367244,0.8950140278765969
55,-2.2202985707158907,0.8377052921508886,3.058003862866779,-1.5270177745357771,-1.9643260300554632,-0.04597188815130307,-0.01347314179034088,49,46,40,34,True,True,0.9168508155788918,0.8948464373077647
56,-2.385514675316449,0.9632503197005658,3.348764995017015,-1.3814558204430893,-1.9923580656825313,-0.04584089195186451,-0.013709384713001194,49,45,40,34,True,True,0.9167444322416333,0.895409086214439
57,-2.333465596840808,0.7813379225850604,3.1148035194258683,-1.7160952079085134,-1.5686923079762327,-0.045769681796222525,-0.011085785730841959,49,45,40,34,True,True,0.9167079718799567,0.894830852178588
58,-5.618522901241435,0.7142939726206619,6.332816873862098,-1.2472435485287314,-1.8277008196424138,-0.05890548114520266,-0.023160192000342573,49,46,41,35,True,True,0.9167950876179984,0.8955793944909047
59,-2.4127601806163796,0.6868649138836301,3.0996250945000097,-1.3866585013140365,-2.0438945020588184,-0.046729038816138754,-0.024838342657462764,49,45,40,35,True,True,0.9167057551951229,0.8947391770835285
60,-2.3328234791140807,0.7334567009134417,3.0662801800275226,-1.5832389844641415,-2.0028600449802814,-0.04580886104009944,-0.02673665976346224,49,45,40,35,True,True,0.9167341873350725,0.8956101899974034
61,-5.582242796895477,0.7748913447518863,6.357134141647363,-1.3767552527283622,-1.9216772566314932,-0.05874299215842192,-0.010779982344521316,49,45,41,34,True,True,0.9166459260231271,0.8948541926392073
62,-2.270817973851613,0.8446893772094306,3.115507351061044,-1.4189004184696985,-1.8812542656954034,-0.04524222631147502,-0.023328502238313824,49,45,40,35,True,True,0.9168099748774415,0.8943104357655373
63,-2.435853182497961,0.9037066085753662,3.3395597910733272,-1.43196956540953,-2.15997404233893,-0.04559321035380864,-0.004698198924519905,49,47,40,33,True,True,0.9166930771175245,0.8953618622970317
64,-5.424828909274774,0.741075383234216,6.165904292508991,-1.5837418135489334,-1.393252614287449,-0.058918823550400866,-0.012142929663146682,49,44,41,34,True,True,0.9167360361219195,0.8953754803011639
65,-5.4701319498340135,0.7004620539204699,6.170594003754483,-1.2998316378929176,-2.1838367491002764,-0.05891502296128083,-0.02668031753750983,49,45,41,35,True,True,0.916790574210684,0.8956309203374906
66,-2.268089770940278,0.6903805928389254,2.9584703637792034,-1.5865796647457353,-1.9598188489492296,-0.04572409130318288,-0.025239562968869676,49,45,40,35,True,True,0.9167402656973295,0.8953373436328109
67,-5.401971426842849,0.4103615755208364,5.812333002363686,-1.431776002265145,-1.8133813131847476,-0.05888978849422338,-0.03763175547767971,49,45,41,36,True,True,0.9168779444569594,0.8956059510651763
68,-2.3365710520552545,0.5348981991723963,2.8714692512276505,-1.6308793068781968,-2.0334692961852086,-0.04619445824621537,-0.03690436215800787,49,45,40,36,True,True,0.9168855442773328,0.8956395729184942
69,-5.639500777452793,0.7320500314854905,6.3715508089382835,-1.4377740507528158,-1.8123483843809407,-0.0597352193575978,-0.013143188374623199,49,45,41,34,True,True,0.9168186963735411,0.8949613036475672
70,-5.5067026165920945,0.7945245164188702,6.301227133010966,-1.4059482498026021,-1.9581608873357526,-0.05891938837132105,-0.013123497937119836,49,45,41,34,True,True,0.9168492041062368,0.8949970626508359
71,-6.079078050514535,0.6569167251294717,6.735994775644007,-1.429887586408074,-1.5144765941007665,-0.07141207960854169,-0.02485562903603197,48,44,42,35,True,True,0.916727271643466,0.8954028973834941
72,-2.7220107672223595,0.8260189316076414,3.548029698830001,-1.2608166920480168,-1.887855448323783,-0.058826288337989266,-0.01290888908258073,49,45,41,34,True,True,0.916725901553704,0.8956442265262096
73,-2.4837938475516452,0.7868985281408049,3.27069237569245,-1.4169244952594806,-1.7606234102894414,-0.046042553161276485,-0.012402509775707726,49,46,40,34,True,True,0.9167320090056266,0.8956997626202747
74,-5.490818810097975,0.6837574639886055,6.174576274086581,-1.7358589227417731,-1.5743906947266795,-0.05891317687113886,-0.011562957282522239,49,44,41,34,True,True,0.916612857208135,0.895357702295795
75,-2.2369223968073837,0.6626611459892104,2.899583542796594,-1.5188548757196718,-1.8686226913190829,-0.04597014733745674,-0.037113851583822424,49,47,40,36,True,True,0.9168374112081389,0.8952480679215203
76,-5.553763859044826,0.5729340859010965,6.126697944945923,-1.2246757201299807,-1.471431315076177,-0.05815096611996718,-0.027138976677289997,48,44,41,35,True,True,0.9167376086543869,0.8956566909827519
77,-2.354039039997971,0.7083722506287198,3.0624112906266907,-1.4388057285826983,-1.4891659407896218,-0.04453954160363538,-0.015657537270156015,49,44,40,34,True,True,0.9167946856945712,0.8947915091272065
78,-2.214850958819483,0.5702978018622368,2.7851487606817202,-1.3894643396503648,-1.8313253234654547,-0.045612110472077264,-0.03672131218865457,49,46,40,36,True,True,0.9166788959852905,0.8950900874738207
79,-2.370682888911232,0.9243955220841908,3.295078410995423,-1.7105111789526894,-1.9500412693654434,-0.04610353543944597,-0.01129630635670465,49,46,40,34,True,True,0.9167929123116703,0.8954177590630569
80,-5.495389409078627,0.8230061766738177,6.318395585752445,-1.763679689538955,-1.393670166749994,-0.05898538881152578,-0.013335977332380265,49,44,41,34,True,True,0.9166987336867854,0.8956750859059688
81,-5.495799226304057,0.6334225301202012,6.129221756424259,-1.3146591337536873,-1.9334532247207492,-0.05733545825282563,-0.02450811168833501,49,45,41,35,True,True,0.9168303129294445,0.8956220761749709
82,-2.427292822834208,0.6589675366524883,3.086260359486696,-1.302166019847778,-1.7391591957800934,-0.04612203244160431,-0.011530783414597883,49,45,40,34,True,True,0.9167777057409192,0.8949865846929885
83,-5.414862692478294,0.6331236581940813,6.0479863506723746,-1.6571660403658872,-1.9674427315709508,-0.05922656979452533,-0.026406695453235682,49,45,41,35,True,True,0.9168934530373986,0.8956287545959126
84,-5.553527403274281,0.5926259516164422,6.146153354890723,-1.280293776775343,-1.7708799323580215,-0.05855594347375744,-0.024126035497763508,49,46,41,35,True,True,0.9168039549725626,0.8956510330749289
85,-5.460224446891104,0.8505515612198417,6.310776008110946,-1.5426945914391033,-1.9940728969717547,-0.05922708478793756,-0.025310041818631463,49,46,41,35,True,True,0.9167105137595436,0.8956336556447972
86,-5.605211207939935,0.5014926181295649,6.1067038260695,-1.416962370793895,-1.8305251794548005,-0.059308781202854974,-0.025158313315419123,49,46,41,35,True,True,0.9165965528270217,0.8954451902857055
87,-5.531316391333457,0.6829964490287034,6.21431284036216,-1.254402205101951,-1.3543780369954184,-0.05831236050388006,-0.0261217142793415,49,44,41,35,True,True,0.916509713925378,0.8956787338328218
88,-2.4005144764206308,0.82857462556615,3.229089101986781,-1.368571265872509,-1.7684386529960183,-0.04490480582058493,-0.025928219724009317,49,46,40,35,True,True,0.9166160118241569,0.8949901058847831
89,-2.350931605167865,0.6187079317596154,2.9696395369274797,-1.4019801710268565,-2.2189110862781583,-0.044778052490767085,-0.029641956066186397,49,46,40,35,True,True,0.9167188033185644,0.8956157995445121
90,-2.357527333812065,0.62866871933748,2.986196053149545,-1.7206817627985704,-1.9994089826186168,-0.031805427045306485,-0.03817455905867543,48,45,39,36,True,True,0.9168145252030327,0.8944662940611274
91,-2.272458062090427,2.1000954753960586,4.3725535374864855,-1.4839855159951676,-2.130722642766414,-0.045736878437744495,-0.026138043389498898,49,45,40,35,True,True,0.9167369177929141,0.895413629166055
92,-2.2687077784548886,0.8191985560070022,3.087906334461891,-1.7334459778409417,-2.0103790014889213,-0.04532632975021245,-0.025213403323293363,49,45,40,35,True,True,0.9168184044797723,0.8948892865406186
93,-2.336572794635031,0.6080470976955376,2.9446198923305684,-1.7137821161806233,-2.058651967704556,-0.04572933608785698,-0.03759393833875538,49,45,40,36,True,True,0.9167452043669104,0.8947733225395734
94,-5.628480158339601,0.7443943862942065,6.372874544633807,-1.41584083991817,-1.738558691932085,-0.058148484786609576,-0.012751588204830501,49,45,41,34,True,True,0.9167895769151185,0.8955865587779401
95,-5.474642789555613,1.0070293415323994,6.481672131088012,-1.5048176160229076,-1.8435639156072214,-0.0588485081065994,-0.012729770970917546,49,46,41,34,True,True,0.9167634186279162,0.8954666374493991
96,-2.2903916658576344,0.607803888467368,2.8981955543250026,-1.5459028697906496,-1.7752042615877983,-0.04541300598544153,-0.012842661694880403,49,45,40,34,True,True,0.916778342853845,0.8955852565265513
97,-5.511508925694757,0.8235347573285219,6.3350436830232795,-1.597190863150949,-1.931537826936347,-0.05908296588564894,-0.012790694686104075,49,45,41,34,True,True,0.916736741363015,0.8956456301782489
98,-2.4519702948784534,0.7758873818435811,3.2278576767220346,-1.396569940672393,-2.011041942734848,-0.04496061097445173,-0.01574135531398736,49,46,40,34,True,True,0.9168192599846011,0.8949994433284159
